nohup: ignoring input
[full_import] start import_customer_to_neo4j
[customer] written=7300000 total=7300000 skipped=0
[customer] written=7350000 total=7350000 skipped=0
[customer] written=7400000 total=7400000 skipped=0
[customer] written=7450000 total=7450000 skipped=0
[customer] written=7500000 total=7500000 skipped=0
[customer] written=7550000 total=7550000 skipped=0
[customer] written=7600000 total=7600000 skipped=0
[customer] written=7650000 total=7650000 skipped=0
[customer] written=7700000 total=7700000 skipped=0
[customer] written=7750000 total=7750000 skipped=0
[customer] written=7800000 total=7800000 skipped=0
[customer] written=7850000 total=7850000 skipped=0
[customer] written=7900000 total=7900000 skipped=0
[customer] written=7950000 total=7950000 skipped=0
[customer] written=8000000 total=8000000 skipped=0
[customer] written=8050000 total=8050000 skipped=0
[customer] written=8100000 total=8100000 skipped=0
[customer] written=8150000 total=8150000 skipped=0
[customer] written=8200000 total=8200000 skipped=0
[customer] written=8250000 total=8250000 skipped=0
[customer] written=8300000 total=8300000 skipped=0
[customer] written=8350000 total=8350000 skipped=0
[customer] written=8400000 total=8400000 skipped=0
[customer] written=8450000 total=8450000 skipped=0
[customer] written=8500000 total=8500000 skipped=0
[customer] written=8550000 total=8550000 skipped=0
[customer] written=8600000 total=8600000 skipped=0
[customer] written=8650000 total=8650000 skipped=0
[customer] written=8700000 total=8700000 skipped=0
[customer] written=8750000 total=8750000 skipped=0
[customer] written=8800000 total=8800000 skipped=0
[customer] written=8850000 total=8850000 skipped=0
[customer] written=8900000 total=8900000 skipped=0
[customer] written=8950000 total=8950000 skipped=0
[customer] written=9000000 total=9000000 skipped=0
[customer] written=9050000 total=9050000 skipped=0
[customer] written=9100000 total=9100000 skipped=0
[customer] written=9150000 total=9150000 skipped=0
[customer] written=9200000 total=9200000 skipped=0
[customer] written=9250000 total=9250000 skipped=0
[customer] written=9300000 total=9300000 skipped=0
[customer] written=9350000 total=9350000 skipped=0
[customer] written=9400000 total=9400000 skipped=0
[customer] written=9450000 total=9450000 skipped=0
[customer] written=9500000 total=9500000 skipped=0
[customer] written=9550000 total=9550000 skipped=0
[customer] written=9600000 total=9600000 skipped=0
[customer] written=9650000 total=9650000 skipped=0
[customer] written=9700000 total=9700000 skipped=0
[customer] written=9750000 total=9750000 skipped=0
[customer] written=9800000 total=9800000 skipped=0
[customer] written=9850000 total=9850000 skipped=0
[customer] written=9900000 total=9900000 skipped=0
[customer] written=9950000 total=9950000 skipped=0
[customer] written=10000000 total=10000000 skipped=0
[customer] written=10050000 total=10050000 skipped=0
[customer] written=10100000 total=10100000 skipped=0
[customer] written=10150000 total=10150000 skipped=0
[customer] written=10200000 total=10200000 skipped=0
[customer] written=10250000 total=10250000 skipped=0
[customer] written=10300000 total=10300000 skipped=0
[customer] written=10350000 total=10350000 skipped=0
[customer] written=10400000 total=10400000 skipped=0
[customer] written=10450000 total=10450000 skipped=0
[customer] written=10500000 total=10500000 skipped=0
[customer] written=10550000 total=10550000 skipped=0
[customer] written=10600000 total=10600000 skipped=0
[customer] written=10650000 total=10650000 skipped=0
[customer] written=10700000 total=10700000 skipped=0
[customer] written=10750000 total=10750000 skipped=0
[customer] written=10800000 total=10800000 skipped=0
[customer] written=10850000 total=10850000 skipped=0
[customer] written=10900000 total=10900000 skipped=0
[customer] written=10950000 total=10950000 skipped=0
[customer] written=11000000 total=11000000 skipped=0
[customer] written=11050000 total=11050000 skipped=0
[customer] written=11100000 total=11100000 skipped=0
[customer] written=11150000 total=11150000 skipped=0
[customer] written=11200000 total=11200000 skipped=0
[customer] written=11250000 total=11250000 skipped=0
[customer] written=11300000 total=11300000 skipped=0
[customer] written=11350000 total=11350000 skipped=0
[customer] written=11400000 total=11400000 skipped=0
[customer] written=11450000 total=11450000 skipped=0
[customer] written=11500000 total=11500000 skipped=0
[customer] written=11550000 total=11550000 skipped=0
[customer] written=11600000 total=11600000 skipped=0
[customer] written=11650000 total=11650000 skipped=0
[customer] written=11700000 total=11700000 skipped=0
[customer] written=11750000 total=11750000 skipped=0
[customer] written=11800000 total=11800000 skipped=0
[customer] written=11850000 total=11850000 skipped=0
[customer] written=11900000 total=11900000 skipped=0
[customer] written=11950000 total=11950000 skipped=0
[customer] written=12000000 total=12000000 skipped=0
[customer] written=12050000 total=12050000 skipped=0
[customer] written=12100000 total=12100000 skipped=0
[customer] written=12150000 total=12150000 skipped=0
[customer] written=12200000 total=12200000 skipped=0
[customer] written=12250000 total=12250000 skipped=0
[customer] written=12300000 total=12300000 skipped=0
[customer] written=12350000 total=12350000 skipped=0
[customer] written=12400000 total=12400000 skipped=0
[customer] written=12450000 total=12450000 skipped=0
[customer] written=12500000 total=12500000 skipped=0
[customer] written=12550000 total=12550000 skipped=0
[customer] written=12600000 total=12600000 skipped=0
[customer] written=12650000 total=12650000 skipped=0
[customer] written=12700000 total=12700000 skipped=0
[customer] written=12750000 total=12750000 skipped=0
[customer] written=12800000 total=12800000 skipped=0
[customer] written=12850000 total=12850000 skipped=0
[customer] written=12900000 total=12900000 skipped=0
[customer] written=12950000 total=12950000 skipped=0
[customer] written=13000000 total=13000000 skipped=0
[customer] written=13050000 total=13050000 skipped=0
[customer] written=13100000 total=13100000 skipped=0
[customer] written=13150000 total=13150000 skipped=0
[customer] written=13200000 total=13200000 skipped=0
[customer] written=13250000 total=13250000 skipped=0
[customer] written=13300000 total=13300000 skipped=0
[customer] written=13350000 total=13350000 skipped=0
[customer] written=13400000 total=13400000 skipped=0
[customer] written=13450000 total=13450000 skipped=0
[customer] written=13500000 total=13500000 skipped=0
[customer] written=13550000 total=13550000 skipped=0
[customer] written=13600000 total=13600000 skipped=0
[customer] written=13650000 total=13650000 skipped=0
[customer] written=13700000 total=13700000 skipped=0
[customer] written=13750000 total=13750000 skipped=0
[customer] written=13800000 total=13800000 skipped=0
[customer] written=13850000 total=13850000 skipped=0
[customer] written=13900000 total=13900000 skipped=0
[customer] written=13950000 total=13950000 skipped=0
[customer] written=14000000 total=14000000 skipped=0
[customer] written=14050000 total=14050000 skipped=0
[customer] written=14100000 total=14100000 skipped=0
[customer] written=14150000 total=14150000 skipped=0
[customer] written=14200000 total=14200000 skipped=0
[customer] written=14250000 total=14250000 skipped=0
[customer] written=14300000 total=14300000 skipped=0
[customer] written=14350000 total=14350000 skipped=0
[customer] written=14400000 total=14400000 skipped=0
[customer] written=14450000 total=14450000 skipped=0
[customer] written=14500000 total=14500000 skipped=0
[customer] written=14550000 total=14550000 skipped=0
[customer] written=14600000 total=14600000 skipped=0
[customer] written=14650000 total=14650000 skipped=0
[customer] written=14700000 total=14700000 skipped=0
[customer] written=14750000 total=14750000 skipped=0
[customer] written=14800000 total=14800000 skipped=0
[customer] written=14850000 total=14850000 skipped=0
[customer] written=14900000 total=14900000 skipped=0
[customer] written=14950000 total=14950000 skipped=0
[customer] written=15000000 total=15000000 skipped=0
[customer] written=15050000 total=15050000 skipped=0
[customer] written=15100000 total=15100000 skipped=0
[customer] written=15150000 total=15150000 skipped=0
[customer] written=15200000 total=15200000 skipped=0
[customer] written=15250000 total=15250000 skipped=0
[customer] written=15300000 total=15300000 skipped=0
[customer] written=15350000 total=15350000 skipped=0
[customer] written=15400000 total=15400000 skipped=0
[customer] written=15450000 total=15450000 skipped=0
[customer] written=15500000 total=15500000 skipped=0
[customer] written=15550000 total=15550000 skipped=0
[customer] written=15600000 total=15600000 skipped=0
[customer] written=15650000 total=15650000 skipped=0
[customer] written=15700000 total=15700000 skipped=0
[customer] written=15750000 total=15750000 skipped=0
[customer] written=15800000 total=15800000 skipped=0
[customer] written=15850000 total=15850000 skipped=0
