nohup: ignoring input
开始加载标签数据...
标签数据加载完成.
开始多进程并行处理，共 124 个月份，进程数: 12
2024-06 完成，事件数: 5693065 -> /data/processed/events_v2/2024-06.jsonl
2025-06 完成，事件数: 7737034 -> /data/processed/events_v2/2025-06.jsonl
2016-05 完成，事件数: 1570 -> /data/processed/events_v2/2016-05.jsonl
2017-05 完成，事件数: 12433 -> /data/processed/events_v2/2017-05.jsonl
2018-05 完成，事件数: 11455 -> /data/processed/events_v2/2018-05.jsonl
2019-01 完成，事件数: 17885 -> /data/processed/events_v2/2019-01.jsonl
2020-02 完成，事件数: 21373 -> /data/processed/events_v2/2020-02.jsonl
2020-12 完成，事件数: 8844 -> /data/processed/events_v2/2020-12.jsonl
2021-09 完成，事件数: 15966 -> /data/processed/events_v2/2021-09.jsonl
2022-09 完成，事件数: 23750 -> /data/processed/events_v2/2022-09.jsonl
2023-09 完成，事件数: 34655 -> /data/processed/events_v2/2023-09.jsonl
2024-07 完成，事件数: 5678569 -> /data/processed/events_v2/2024-07.jsonl
2025-07 完成，事件数: 5633348 -> /data/processed/events_v2/2025-07.jsonl
2016-06 完成，事件数: 2170 -> /data/processed/events_v2/2016-06.jsonl
2017-06 完成，事件数: 14114 -> /data/processed/events_v2/2017-06.jsonl
2018-06 完成，事件数: 10878 -> /data/processed/events_v2/2018-06.jsonl
2018-12 完成，事件数: 15734 -> /data/processed/events_v2/2018-12.jsonl
2020-01 完成，事件数: 20606 -> /data/processed/events_v2/2020-01.jsonl
2020-10 完成，事件数: 19301 -> /data/processed/events_v2/2020-10.jsonl
2022-02 完成，事件数: 14994 -> /data/processed/events_v2/2022-02.jsonl
2022-11 完成，事件数: 22552 -> /data/processed/events_v2/2022-11.jsonl
2023-10 完成，事件数: 32095 -> /data/processed/events_v2/2023-10.jsonl
2024-08 完成，事件数: 6817363 -> /data/processed/events_v2/2024-08.jsonl
2025-08 完成，事件数: 6922262 -> /data/processed/events_v2/2025-08.jsonl
2016-03 完成，事件数: 521 -> /data/processed/events_v2/2016-03.jsonl
2017-03 完成，事件数: 10313 -> /data/processed/events_v2/2017-03.jsonl
2018-03 完成，事件数: 15149 -> /data/processed/events_v2/2018-03.jsonl
2019-02 完成，事件数: 12377 -> /data/processed/events_v2/2019-02.jsonl
2019-11 完成，事件数: 29819 -> /data/processed/events_v2/2019-11.jsonl
2021-04 完成，事件数: 14312 -> /data/processed/events_v2/2021-04.jsonl
2022-05 完成，事件数: 21973 -> /data/processed/events_v2/2022-05.jsonl
2023-05 完成，事件数: 41976 -> /data/processed/events_v2/2023-05.jsonl
2024-05 完成，事件数: 6042667 -> /data/processed/events_v2/2024-05.jsonl
2025-05 完成，事件数: 10098434 -> /data/processed/events_v2/2025-05.jsonl
2016-07 完成，事件数: 2558 -> /data/processed/events_v2/2016-07.jsonl
2017-07 完成，事件数: 17034 -> /data/processed/events_v2/2017-07.jsonl
2018-09 完成，事件数: 11064 -> /data/processed/events_v2/2018-09.jsonl
2019-08 完成，事件数: 21976 -> /data/processed/events_v2/2019-08.jsonl
2020-07 完成，事件数: 18504 -> /data/processed/events_v2/2020-07.jsonl
2021-08 完成，事件数: 12851 -> /data/processed/events_v2/2021-08.jsonl
2022-08 完成，事件数: 26299 -> /data/processed/events_v2/2022-08.jsonl
2023-07 完成，事件数: 52653 -> /data/processed/events_v2/2023-07.jsonl
2024-09 完成，事件数: 6455524 -> /data/processed/events_v2/2024-09.jsonl
2025-09 完成，事件数: 4381274 -> /data/processed/events_v2/2025-09.jsonl
